Date,Description,Details,Reference Number,Check Number,Withdrawals,Debits,Payments,Deposits,Credits,Amount,Balance,Running Balance,Transaction Type,Currency
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Visa-EUR,,0,0,0,44337.5,44337.5,44337.5,3470295.440000001,3470295.440000001,ACH,EUR
2025-01-03,Settlement from Amex,Processor Payout Batch,SET-20250101-Amex-Amex-EUR,,0,0,0,62746.42,62746.42,62746.42,3533041.860000001,3533041.860000001,ACH,EUR
2025-01-03,Settlement from Amex,Processor Payout Batch,SET-20250101-Amex-Amex-GBP,,0,0,0,48805.28,48805.28,48805.28,3581847.1400000006,3581847.1400000006,ACH,GBP
2025-01-03,Settlement from Amex,Processor Payout Batch,SET-20250101-Amex-Amex-USD,,0,0,0,199320.15,199320.15,199320.15,3781167.2900000005,3781167.2900000005,ACH,USD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Mastercard-AUD,,0,0,0,27893.14,27893.14,27893.14,3809060.4300000006,3809060.4300000006,ACH,AUD
2025-01-03,Settlement from Amex,Processor Payout Batch,SET-20250101-Amex-Amex-CAD,,0,0,0,14915.24,14915.24,14915.24,3823975.670000001,3823975.670000001,ACH,CAD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Mastercard-EUR,,0,0,0,50003.01,50003.01,50003.01,3873978.6800000006,3873978.6800000006,ACH,EUR
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Mastercard-GBP,,0,0,0,24364.06,24364.06,24364.06,3898342.7400000007,3898342.7400000007,ACH,GBP
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Mastercard-USD,,0,0,0,204549.78,204549.78,204549.78,4102892.5200000005,4102892.5200000005,ACH,USD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Visa-AUD,,0,0,0,29946.87,29946.87,29946.87,4132839.3900000006,4132839.3900000006,ACH,AUD
2025-01-03,Settlement from ClientLine,Processor Payout Batch,SET-20250101-ClientLine-Mastercard-CAD,,0,0,0,19439.54,19439.54,19439.54,4152278.9300000006,4152278.9300000006,ACH,CAD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Visa-GBP,,0,0,0,29123.9,29123.9,29123.9,4181402.8300000005,4181402.8300000005,ACH,GBP
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Visa-USD,,0,0,0,169068.82,169068.82,169068.82,4350471.65,4350471.65,ACH,USD
2025-01-06,Settlement from GoCardless,Processor Payout Batch,SET-20250102-GoCardless-N/A-AUD,,0,0,0,56709.27,56709.27,56709.27,4407180.92,4407180.92,ACH,AUD
2025-01-06,Settlement from GoCardless,Processor Payout Batch,SET-20250102-GoCardless-N/A-CAD,,0,0,0,61868.45,61868.45,61868.45,4469049.37,4469049.37,ACH,CAD
2025-01-06,Settlement from GoCardless,Processor Payout Batch,SET-20250102-GoCardless-N/A-EUR,,0,0,0,144247.26,144247.26,144247.26,4613296.63,4613296.63,ACH,EUR
2025-01-06,Settlement from PayPal,Processor Payout Batch,SET-20250102-PayPal-N/A-AUD,,0,0,0,95108.5,95108.5,95108.5,4708405.13,4708405.13,ACH,AUD
2025-01-06,Settlement from GoCardless,Processor Payout Batch,SET-20250102-GoCardless-N/A-USD,,0,0,0,578576.09,578576.09,578576.09,5286981.22,5286981.22,ACH,USD
2025-01-06,Settlement from PayPal,Processor Payout Batch,SET-20250102-PayPal-N/A-CAD,,0,0,0,62753.41,62753.41,62753.41,5349734.63,5349734.63,ACH,CAD
2025-01-06,Settlement from PayPal,Processor Payout Batch,SET-20250102-PayPal-N/A-EUR,,0,0,0,103354.98,103354.98,103354.98,5453089.61,5453089.61,ACH,EUR
2025-01-06,Settlement from PayPal,Processor Payout Batch,SET-20250102-PayPal-N/A-GBP,,0,0,0,120299.52,120299.52,120299.52,5573389.13,5573389.13,ACH,GBP
2025-01-06,Settlement from GoCardless,Processor Payout Batch,SET-20250102-GoCardless-N/A-GBP,,0,0,0,78132.52,78132.52,78132.52,5651521.649999999,5651521.649999999,ACH,GBP
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Visa-EUR,,0,0,0,47759.48,47759.48,47759.48,5699281.13,5699281.13,ACH,EUR
2025-01-06,Settlement from PayPal,Processor Payout Batch,SET-20250102-PayPal-N/A-USD,,0,0,0,651192.52,651192.52,651192.52,6350473.65,6350473.65,ACH,USD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Visa-AUD,,0,0,0,16249.06,16249.06,16249.06,6366722.71,6366722.71,ACH,AUD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Mastercard-USD,,0,0,0,215214.9,215214.9,215214.9,6581937.61,6581937.61,ACH,USD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Mastercard-GBP,,0,0,0,28124.12,28124.12,28124.12,6610061.73,6610061.73,ACH,GBP
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Mastercard-EUR,,0,0,0,34808.11,34808.11,34808.11,6644869.840000001,6644869.840000001,ACH,EUR
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Mastercard-CAD,,0,0,0,22359.36,22359.36,22359.36,6667229.200000001,6667229.200000001,ACH,CAD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Mastercard-AUD,,0,0,0,36773.97,36773.97,36773.97,6704003.170000001,6704003.170000001,ACH,AUD
2025-01-06,Settlement from Amex,Processor Payout Batch,SET-20250102-Amex-Amex-USD,,0,0,0,204725.71,204725.71,204725.71,6908728.880000001,6908728.880000001,ACH,USD
2025-01-06,Settlement from Amex,Processor Payout Batch,SET-20250102-Amex-Amex-GBP,,0,0,0,35230.12,35230.12,35230.12,6943959.000000001,6943959.000000001,ACH,GBP
2025-01-06,Settlement from Amex,Processor Payout Batch,SET-20250102-Amex-Amex-EUR,,0,0,0,78207.61,78207.61,78207.61,7022166.610000001,7022166.610000001,ACH,EUR
2025-01-06,Settlement from Amex,Processor Payout Batch,SET-20250102-Amex-Amex-CAD,,0,0,0,21321.04,21321.04,21321.04,7043487.650000001,7043487.650000001,ACH,CAD
2025-01-06,Settlement from Amex,Processor Payout Batch,SET-20250102-Amex-Amex-AUD,,0,0,0,14587.53,14587.53,14587.53,7058075.180000002,7058075.180000002,ACH,AUD
2025-01-06,Settlement from ClientLine,Processor Payout Batch,SET-20250102-ClientLine-Visa-CAD,,0,0,0,12889.02,12889.02,12889.02,7070964.200000001,7070964.200000001,ACH,CAD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Visa-USD,,0,0,0,180139.41,180139.41,180139.41,7251103.610000001,7251103.610000001,ACH,USD
2025-01-07,Settlement from GoCardless,Processor Payout Batch,SET-20250103-GoCardless-N/A-AUD,,0,0,0,95127.48,95127.48,95127.48,7346231.090000002,7346231.090000002,ACH,AUD
2025-01-07,Settlement from GoCardless,Processor Payout Batch,SET-20250103-GoCardless-N/A-CAD,,0,0,0,65943.45,65943.45,65943.45,7412174.540000002,7412174.540000002,ACH,CAD
2025-01-07,Settlement from GoCardless,Processor Payout Batch,SET-20250103-GoCardless-N/A-EUR,,0,0,0,161401.36,161401.36,161401.36,7573575.900000002,7573575.900000002,ACH,EUR
2025-01-07,Settlement from PayPal,Processor Payout Batch,SET-20250103-PayPal-N/A-USD,,0,0,0,612469.79,612469.79,612469.79,8186045.690000002,8186045.690000002,ACH,USD
2025-01-07,Settlement from PayPal,Processor Payout Batch,SET-20250103-PayPal-N/A-AUD,,0,0,0,73940.52,73940.52,73940.52,8259986.210000002,8259986.210000002,ACH,AUD
2025-01-07,Settlement from PayPal,Processor Payout Batch,SET-20250103-PayPal-N/A-CAD,,0,0,0,60384.38,60384.38,60384.38,8320370.590000002,8320370.590000002,ACH,CAD
2025-01-07,Settlement from PayPal,Processor Payout Batch,SET-20250103-PayPal-N/A-EUR,,0,0,0,102087.06,102087.06,102087.06,8422457.650000002,8422457.650000002,ACH,EUR
2025-01-07,Settlement from PayPal,Processor Payout Batch,SET-20250103-PayPal-N/A-GBP,,0,0,0,87041.03,87041.03,87041.03,8509498.680000002,8509498.680000002,ACH,GBP
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Visa-GBP,,0,0,0,46648.42,46648.42,46648.42,8556147.100000001,8556147.100000001,ACH,GBP
2025-01-07,Settlement from GoCardless,Processor Payout Batch,SET-20250103-GoCardless-N/A-USD,,0,0,0,685055.5,685055.5,685055.5,9241202.600000001,9241202.600000001,ACH,USD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Visa-EUR,,0,0,0,51851.56,51851.56,51851.56,9293054.160000002,9293054.160000002,ACH,EUR
2025-01-07,Settlement from GoCardless,Processor Payout Batch,SET-20250103-GoCardless-N/A-GBP,,0,0,0,79347.07,79347.07,79347.07,9372401.230000002,9372401.230000002,ACH,GBP
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Visa-AUD,,0,0,0,27784.46,27784.46,27784.46,9400185.690000003,9400185.690000003,ACH,AUD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Mastercard-USD,,0,0,0,240684.07,240684.07,240684.07,9640869.760000004,9640869.760000004,ACH,USD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Mastercard-GBP,,0,0,0,38651.86,38651.86,38651.86,9679521.620000003,9679521.620000003,ACH,GBP
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Mastercard-EUR,,0,0,0,42735.08,42735.08,42735.08,9722256.700000003,9722256.700000003,ACH,EUR
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Mastercard-CAD,,0,0,0,17714.71,17714.71,17714.71,9739971.410000004,9739971.410000004,ACH,CAD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Mastercard-AUD,,0,0,0,19063.47,19063.47,19063.47,9759034.880000005,9759034.880000005,ACH,AUD
2025-01-07,Settlement from Amex,Processor Payout Batch,SET-20250103-Amex-Amex-USD,,0,0,0,191073.66,191073.66,191073.66,9950108.540000005,9950108.540000005,ACH,USD
2025-01-07,Settlement from Amex,Processor Payout Batch,SET-20250103-Amex-Amex-GBP,,0,0,0,18141.66,18141.66,18141.66,9968250.200000005,9968250.200000005,ACH,GBP
2025-01-07,Settlement from Amex,Processor Payout Batch,SET-20250103-Amex-Amex-EUR,,0,0,0,70289.65,70289.65,70289.65,10038539.850000005,10038539.850000005,ACH,EUR
2025-01-07,Settlement from Amex,Processor Payout Batch,SET-20250103-Amex-Amex-CAD,,0,0,0,28610.27,28610.27,28610.27,10067150.120000005,10067150.120000005,ACH,CAD
2025-01-07,Settlement from Amex,Processor Payout Batch,SET-20250103-Amex-Amex-AUD,,0,0,0,18115.51,18115.51,18115.51,10085265.630000005,10085265.630000005,ACH,AUD
2025-01-07,Settlement from ClientLine,Processor Payout Batch,SET-20250103-ClientLine-Visa-CAD,,0,0,0,28830.7,28830.7,28830.7,10114096.330000004,10114096.330000004,ACH,CAD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Visa-AUD,,0,0,0,19985.07,19985.07,19985.07,10134081.400000004,10134081.400000004,ACH,AUD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Mastercard-USD,,0,0,0,187029.75,187029.75,187029.75,10321111.150000004,10321111.150000004,ACH,USD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Mastercard-GBP,,0,0,0,21584.89,21584.89,21584.89,10342696.040000005,10342696.040000005,ACH,GBP
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Mastercard-EUR,,0,0,0,42774.57,42774.57,42774.57,10385470.610000005,10385470.610000005,ACH,EUR
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250106-Amex-Amex-EUR,,0,0,0,61151.35,61151.35,61151.35,10446621.960000005,10446621.960000005,ACH,EUR
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Mastercard-AUD,,0,0,0,14488.77,14488.77,14488.77,10461110.730000004,10461110.730000004,ACH,AUD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250106-Amex-Amex-USD,,0,0,0,160757.9,160757.9,160757.9,10621868.630000005,10621868.630000005,ACH,USD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250106-Amex-Amex-GBP,,0,0,0,18716.19,18716.19,18716.19,10640584.820000004,10640584.820000004,ACH,GBP
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Visa-CAD,,0,0,0,26763.69,26763.69,26763.69,10667348.510000004,10667348.510000004,ACH,CAD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Mastercard-CAD,,0,0,0,19756.87,19756.87,19756.87,10687105.380000003,10687105.380000003,ACH,CAD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Visa-GBP,,0,0,0,36269.86,36269.86,36269.86,10723375.240000002,10723375.240000002,ACH,GBP
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250106-GoCardless-N/A-USD,,0,0,0,654514.87,654514.87,654514.87,11377890.110000001,11377890.110000001,ACH,USD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250106-GoCardless-N/A-AUD,,0,0,0,76364.94,76364.94,76364.94,11454255.05,11454255.05,ACH,AUD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250106-GoCardless-N/A-CAD,,0,0,0,59824.5,59824.5,59824.5,11514079.55,11514079.55,ACH,CAD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250106-GoCardless-N/A-EUR,,0,0,0,159602.37,159602.37,159602.37,11673681.92,11673681.92,ACH,EUR
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250106-GoCardless-N/A-GBP,,0,0,0,92801.14,92801.14,92801.14,11766483.06,11766483.06,ACH,GBP
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250106-PayPal-N/A-AUD,,0,0,0,96844.69,96844.69,96844.69,11863327.75,11863327.75,ACH,AUD
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250106-PayPal-N/A-CAD,,0,0,0,57504.65,57504.65,57504.65,11920832.4,11920832.4,ACH,CAD
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250106-PayPal-N/A-EUR,,0,0,0,133648.14,133648.14,133648.14,12054480.540000001,12054480.540000001,ACH,EUR
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250106-PayPal-N/A-GBP,,0,0,0,107583.23,107583.23,107583.23,12162063.770000001,12162063.770000001,ACH,GBP
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250106-PayPal-N/A-USD,,0,0,0,592518.85,592518.85,592518.85,12754582.620000001,12754582.620000001,ACH,USD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250106-Amex-Amex-CAD,,0,0,0,25488.24,25488.24,25488.24,12780070.860000001,12780070.860000001,ACH,CAD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Visa-USD,,0,0,0,187510.6,187510.6,187510.6,12967581.46,12967581.46,ACH,USD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250106-Amex-Amex-AUD,,0,0,0,25498.55,25498.55,25498.55,12993080.010000002,12993080.010000002,ACH,AUD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250106-ClientLine-Visa-EUR,,0,0,0,65282.78,65282.78,65282.78,13058362.790000001,13058362.790000001,ACH,EUR
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Mastercard-CAD,,0,0,0,14366.75,14366.75,14366.75,13072729.540000001,13072729.540000001,ACH,CAD
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250104-PayPal-N/A-CAD,,0,0,0,102865.62,102865.62,102865.62,13175595.16,13175595.16,ACH,CAD
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250104-PayPal-N/A-AUD,,0,0,0,87198.66,87198.66,87198.66,13262793.82,13262793.82,ACH,AUD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250104-GoCardless-N/A-USD,,0,0,0,557973.39,557973.39,557973.39,13820767.21,13820767.21,ACH,USD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250104-GoCardless-N/A-GBP,,0,0,0,112534.0,112534.0,112534.0,13933301.21,13933301.21,ACH,GBP
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250104-GoCardless-N/A-EUR,,0,0,0,174071.59,174071.59,174071.59,14107372.8,14107372.8,ACH,EUR
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250104-GoCardless-N/A-CAD,,0,0,0,94056.24,94056.24,94056.24,14201429.040000001,14201429.040000001,ACH,CAD
2025-01-08,Settlement from GoCardless,Processor Payout Batch,SET-20250104-GoCardless-N/A-AUD,,0,0,0,70187.02,70187.02,70187.02,14271616.06,14271616.06,ACH,AUD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Visa-USD,,0,0,0,244241.08,244241.08,244241.08,14515857.14,14515857.14,ACH,USD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Visa-GBP,,0,0,0,38585.64,38585.64,38585.64,14554442.780000001,14554442.780000001,ACH,GBP
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Visa-EUR,,0,0,0,41478.1,41478.1,41478.1,14595920.88,14595920.88,ACH,EUR
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Visa-CAD,,0,0,0,16187.48,16187.48,16187.48,14612108.360000001,14612108.360000001,ACH,CAD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Visa-AUD,,0,0,0,47189.43,47189.43,47189.43,14659297.790000001,14659297.790000001,ACH,AUD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Mastercard-USD,,0,0,0,193788.74,193788.74,193788.74,14853086.530000001,14853086.530000001,ACH,USD
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Mastercard-GBP,,0,0,0,27981.86,27981.86,27981.86,14881068.39,14881068.39,ACH,GBP
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Mastercard-EUR,,0,0,0,61729.75,61729.75,61729.75,14942798.14,14942798.14,ACH,EUR
2025-01-08,Settlement from ClientLine,Processor Payout Batch,SET-20250104-ClientLine-Mastercard-AUD,,0,0,0,22722.75,22722.75,22722.75,14965520.89,14965520.89,ACH,AUD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250104-Amex-Amex-USD,,0,0,0,181180.9,181180.9,181180.9,15146701.790000001,15146701.790000001,ACH,USD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250104-Amex-Amex-GBP,,0,0,0,37399.46,37399.46,37399.46,15184101.250000002,15184101.250000002,ACH,GBP
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250104-Amex-Amex-EUR,,0,0,0,58732.9,58732.9,58732.9,15242834.150000002,15242834.150000002,ACH,EUR
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250104-Amex-Amex-CAD,,0,0,0,29410.49,29410.49,29410.49,15272244.640000002,15272244.640000002,ACH,CAD
2025-01-08,Settlement from Amex,Processor Payout Batch,SET-20250104-Amex-Amex-AUD,,0,0,0,33435.07,33435.07,33435.07,15305679.710000003,15305679.710000003,ACH,AUD
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250104-PayPal-N/A-EUR,,0,0,0,167368.35,167368.35,167368.35,15473048.060000002,15473048.060000002,ACH,EUR
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250104-PayPal-N/A-GBP,,0,0,0,99464.39,99464.39,99464.39,15572512.450000003,15572512.450000003,ACH,GBP
2025-01-08,Settlement from PayPal,Processor Payout Batch,SET-20250104-PayPal-N/A-USD,,0,0,0,652995.25,652995.25,652995.25,16225507.700000003,16225507.700000003,ACH,USD
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250105-PayPal-N/A-GBP,,0,0,0,114109.76,114109.76,114109.76,16339617.460000003,16339617.460000003,ACH,GBP
2025-01-09,Settlement from Amex,Processor Payout Batch,SET-20250107-Amex-Amex-GBP,,0,0,0,32624.7,32624.7,32624.7,16372242.160000002,16372242.160000002,ACH,GBP
2025-01-09,Settlement from Amex,Processor Payout Batch,SET-20250107-Amex-Amex-USD,,0,0,0,195218.11,195218.11,195218.11,16567460.270000001,16567460.270000001,ACH,USD
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250105-PayPal-N/A-USD,,0,0,0,601868.28,601868.28,601868.28,17169328.55,17169328.55,ACH,USD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Mastercard-CAD,,0,0,0,19867.77,19867.77,19867.77,17189196.32,17189196.32,ACH,CAD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Mastercard-EUR,,0,0,0,49139.2,49139.2,49139.2,17238335.52,17238335.52,ACH,EUR
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Mastercard-GBP,,0,0,0,18823.02,18823.02,18823.02,17257158.54,17257158.54,ACH,GBP
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Mastercard-USD,,0,0,0,254311.59,254311.59,254311.59,17511470.13,17511470.13,ACH,USD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Visa-AUD,,0,0,0,40670.83,40670.83,40670.83,17552140.959999997,17552140.959999997,ACH,AUD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Visa-CAD,,0,0,0,30791.85,30791.85,30791.85,17582932.81,17582932.81,ACH,CAD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Visa-EUR,,0,0,0,42802.97,42802.97,42802.97,17625735.779999997,17625735.779999997,ACH,EUR
2025-01-09,Settlement from Amex,Processor Payout Batch,SET-20250107-Amex-Amex-EUR,,0,0,0,59994.36,59994.36,59994.36,17685730.139999997,17685730.139999997,ACH,EUR
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Visa-GBP,,0,0,0,33315.64,33315.64,33315.64,17719045.779999997,17719045.779999997,ACH,GBP
2025-01-09,Settlement from GoCardless,Processor Payout Batch,SET-20250107-GoCardless-N/A-AUD,,0,0,0,68750.0,68750.0,68750.0,17787795.779999997,17787795.779999997,ACH,AUD
2025-01-09,Settlement from GoCardless,Processor Payout Batch,SET-20250107-GoCardless-N/A-CAD,,0,0,0,50172.97,50172.97,50172.97,17837968.749999996,17837968.749999996,ACH,CAD
2025-01-09,Settlement from GoCardless,Processor Payout Batch,SET-20250107-GoCardless-N/A-EUR,,0,0,0,133031.94,133031.94,133031.94,17971000.689999998,17971000.689999998,ACH,EUR
2025-01-09,Settlement from GoCardless,Processor Payout Batch,SET-20250107-GoCardless-N/A-GBP,,0,0,0,92165.76,92165.76,92165.76,18063166.45,18063166.45,ACH,GBP
2025-01-09,Settlement from GoCardless,Processor Payout Batch,SET-20250107-GoCardless-N/A-USD,,0,0,0,660707.03,660707.03,660707.03,18723873.48,18723873.48,ACH,USD
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250107-PayPal-N/A-AUD,,0,0,0,81211.04,81211.04,81211.04,18805084.52,18805084.52,ACH,AUD
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250107-PayPal-N/A-CAD,,0,0,0,62283.23,62283.23,62283.23,18867367.75,18867367.75,ACH,CAD
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250107-PayPal-N/A-EUR,,0,0,0,157667.11,157667.11,157667.11,19025034.86,19025034.86,ACH,EUR
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250107-PayPal-N/A-GBP,,0,0,0,137471.08,137471.08,137471.08,19162505.939999998,19162505.939999998,ACH,GBP
2025-01-09,Settlement from PayPal,Processor Payout Batch,SET-20250107-PayPal-N/A-USD,,0,0,0,668909.9,668909.9,668909.9,19831415.839999996,19831415.839999996,ACH,USD
2025-01-09,Settlement from ClientLine,Processor Payout Batch,SET-20250107-ClientLine-Visa-USD,,0,0,0,214280.2,214280.2,214280.2,20045696.039999995,20045696.039999995,ACH,USD
